,run,number,diffInserts,diffQueries1,diffQueries2
155,2,15,1.1759723749996454,-4.590194848620433,-4.163919240313696
17,1,15,2.569271737047507,-4.819192202591394,-4.126033589160238
178,2,16,1.3970682250772581,-5.018571971170315,-3.4927059053137532
40,1,16,-3.07591438924274,-3.8374737566340134,-3.1344952910223545
109,3,16,-0.9968585459672274,-4.940818274305192,-3.995630223884694
132,3,17,-2.0575494861623245,-4.958872703283978,-5.294406629257075
63,1,17,-4.1751072283346735,-4.524873875268687,-3.7236266456634914
201,2,17,0.7087223491790917,-5.0658126266360455,-4.086121395323083
203,2,18,-1.8473206344080118,-4.391025638881796,-4.626339705290372
65,1,18,-1.025864465841897,-4.642953420709695,-4.582376833367596
134,3,18,1.6052191093258728,-5.1353625624505295,-3.8257564466254945
122,3,19,4.202516268891254,-4.864990792064406,-3.6495556368439597
53,1,19,-2.6268935297614537,-4.587702239684632,-4.0345325337355025
191,2,19,-1.120570696899137,-4.441255982070791,-3.5578079737400348
72,3,20,2.8242293553192743,-4.699072246653834,-2.670156713923044
3,1,20,0.8854399178044758,-3.805671149171408,-1.8811855847734704
141,2,20,0.45200895590800094,-4.150263109314545,-2.0537578823849656
118,3,21,0.2974961050971059,-4.601737171937204,-1.516224471109917
187,2,21,3.0927478642258865,-3.273766915371168,-1.767241263965158
49,1,21,-3.01782573015672,-4.295389555741169,-2.3085587349762515
133,3,22,3.1975855263604913,-4.573738298858087,-2.8337495622755116
64,1,22,0.7350527415882935,-3.9181299150067628,-1.7637119088388498
202,2,22,1.2257221415912012,-3.656209101812391,-1.6937762717542881
119,3,23,0.8039133555382438,-5.00884527418598,-2.308284697977203
188,2,23,-0.5755173944020586,-5.469535297328032,-1.3917841167404799
50,1,23,2.3208630722652224,-4.0635079340899605,-1.8710676504926194
90,3,24,-0.4443629251225767,-4.5905776864794685,-2.2972791548537153
21,1,24,-1.682639492913507,-5.031120436624958,-2.228742142937079
159,2,24,-2.255892241588753,-5.195746515852706,-2.195882522643089
18,1,25,3.5218662343153406,-4.764714126498704,-3.274435688754307
87,3,25,5.265828520876603,-5.431490180565623,-3.236173806690301
156,2,25,-1.2371182938876846,-4.747725458478602,-2.083815116738297
189,2,26,-0.019876483353264973,-5.03078618298185,-3.2500894539253533
120,3,26,-0.7339364700091,-2.977383322809435,-2.920555340281694
