,commit,type,min,med,max,jump,trend
121,53,simple queries,-5.419450270111937,-4.6689493957057335,-3.9888554345582365,,
190,53,group-by queries,-3.777909385759759,-3.038190895142568,-2.1712742317210765,,
53,54,inserts,1.9003922400265605,3.5842187168101387,5.009008455456043,,definite up
122,54,simple queries,-5.713675441555699,-4.617626831845144,-3.7036337092560263,,
191,54,group-by queries,-3.758453138124496,-2.6183729192408407,-1.6120377541055553,,
54,55,inserts,-0.3157965486806802,0.8416006772810071,1.9699983567330603,potential down,
123,55,simple queries,-4.980937677536247,-4.320884356154266,-3.5767334690311468,,
192,55,group-by queries,-3.5866040081100388,-2.725485512426717,-1.7826069317951276,,
193,56,group-by queries,-3.766838019390295,-2.8686712271980497,-1.9462843045486733,,
124,56,simple queries,-5.421666381169466,-4.661770668030874,-4.071833007296322,,
55,56,inserts,0.1425965293509579,1.4407082306737484,2.5469159997400403,,
194,57,group-by queries,-3.1673597216709704,-2.0612515518716235,-0.8374733431897985,,
125,57,simple queries,-6.123300681060206,-5.262249459822755,-4.48312086695184,,
56,57,inserts,-1.9472428025236188,-0.6996886269628577,0.811306875719886,potential down,definite down
57,58,inserts,-1.1665536464628643,-0.1359068514895423,0.7589518180009636,,
195,58,group-by queries,-3.0988695813164773,-2.1588028476479337,-1.3723036158278412,,
126,58,simple queries,-5.47730247990168,-4.523493784584366,-3.6229819230350624,,
127,59,simple queries,-6.489371225267815,-5.949023091687367,-5.189473989015081,potential down,definite down
196,59,group-by queries,-4.8234552217763635,-3.7773713246796015,-2.3180073191634514,potential down,potential down
58,59,inserts,-0.23357773909001844,1.7296258748049187,3.261430840896007,potential up,
197,60,group-by queries,-4.862399226138581,-4.003474441419619,-2.42233108783495,,potential down
59,60,inserts,-2.149604039112496,0.556468581314773,3.1822124355118,,
128,60,simple queries,-6.396429545444182,-5.410146879927424,-4.641478386263653,,
60,61,inserts,-0.4476544823158069,1.1927636523304752,3.4075819130778617,,
198,61,group-by queries,-4.669882048754136,-3.8802492495786263,-3.0698945283394234,,
129,61,simple queries,-6.236467339203867,-5.4218453583026465,-4.601732462795294,,
199,62,group-by queries,-4.693510961124703,-3.884149895884825,-3.0072085833944384,,
130,62,simple queries,-6.226894003413463,-5.639284600173456,-4.809156368012389,,
61,62,inserts,0.7474468545212831,2.1132407643590145,3.75448347671512,,
200,63,group-by queries,-4.264455485369645,-3.3859963087780827,-2.2818263616124823,,
62,63,inserts,0.6986034820253506,3.1029053761627345,5.9920248113872985,,
131,63,simple queries,-6.44907310122208,-5.196797934337793,-3.683812369572048,,
201,64,group-by queries,-5.0187736236651626,-4.264875154960313,-3.421152093730617,,
63,64,inserts,3.4801434694292412,5.062212509911458,6.76478264728182,,definite up
132,64,simple queries,-6.742792607798452,-5.871890085007503,-5.190878785248421,,
133,65,simple queries,-6.559980383853048,-5.865455796138662,-5.0505160836729965,,
202,65,group-by queries,-4.432136210100402,-3.7581198546295487,-2.9296850513819805,,
64,65,inserts,2.345252997137637,4.706763445153861,8.146793196249579,,definite up
134,66,simple queries,-6.659091731121625,-5.940782136574918,-5.005695043994396,,
203,66,group-by queries,-4.635018030696782,-3.399139571171328,-2.6735008430144425,,
65,66,inserts,3.832864215877741,4.9672281815916985,6.070232062573799,,definite up
135,67,simple queries,-6.328902362650558,-5.597895894018269,-4.776725259482529,,
204,67,group-by queries,-4.807323709721144,-4.130680272809552,-2.9745036272553094,,
66,67,inserts,2.5406600348440334,5.552327747783625,8.648205619083726,,definite up
205,68,group-by queries,-4.84723401939312,-3.8705140938286697,-2.7615660794457986,,
67,68,inserts,4.3722853550534735,6.12695553837197,7.783519968142771,,definite up
136,68,simple queries,-6.617890410544215,-5.714813554975172,-5.118289688031642,,
137,69,simple queries,-6.103154825537782,-5.434227855369178,-4.720619204740816,,
68,69,inserts,2.7179490923945564,4.348220180859963,5.648395669802443,,
206,69,group-by queries,-4.659743601763234,-3.599599189238767,-2.646074771156248,,
