,run,number,diffInserts,diffQueries1,diffQueries2
17,run1,14,1.0321613431213406,-0.6768100689292011,-1.223369663195295
227,run3,15,-0.085265006654478,-2.60562818528014,0.07616164005586068
123,run2,15,0.2626132056572583,-0.17773699196953485,1.7400250620257296
18,run1,15,-0.4902129880446582,2.1542813442098296,-0.4016724411655792
19,run1,16,0.08386880143465003,0.6367236033977486,-0.12593925912099957
228,run3,16,0.5729792863799821,0.9106105535269027,-0.8760574661139997
124,run2,16,-0.46656444782444684,-0.06454826752791964,-0.9337393846976516
125,run2,17,-1.1793491315550964,-3.155141203932388,-0.5140980583321797
229,run3,17,0.30466432185058956,-0.44991596084420493,-0.8948760248087106
20,run1,17,-0.054803209253484475,1.2784465711787485,-0.6345378096534349
126,run2,18,0.34758256056854897,-2.460570420030661,-1.6862199616587303
230,run3,18,-0.4179043458073628,0.08804622730709255,-1.3704424915723878
21,run1,18,0.14011850692055017,-3.4198110788140834,0.1522876962112285
231,run3,19,0.6836667209715319,-0.8675041315777121,0.5844364372697974
22,run1,19,0.5254774130182049,-0.050216029736405154,-1.2030964714268455
127,run2,19,-0.23721942749488356,-0.811385929646713,-1.1734487082659562
129,run2,20,-0.01874425582361061,1.3759951080184907,-0.5293270500902558
233,run3,20,-0.45343959065474726,-1.5389614234419868,-0.9270792477534484
24,run1,20,0.36437961727113777,-1.2467260077263842,-0.31256332986158153
25,run1,21,-0.5823399649656391,1.0331882464327702,-0.859937267176325
234,run3,21,0.14551405089227032,-1.749746710875466,-0.47818406692228255
130,run2,21,0.43358241978794787,0.44186727856334596,-1.135450654383774
235,run3,22,0.35452514327671825,0.23170571673536422,-0.5825067586278432
131,run2,22,1.0376687354734848,0.6061442244779336,-1.0991873651499007
26,run1,22,-0.03833736308663793,-0.0224390949791875,-0.8254528935898953
27,run1,23,0.01610355132384278,-1.9519560634182587,-0.38267203217708934
236,run3,23,0.478074944306095,0.7481343842978605,-0.7652406006893764
132,run2,23,-0.03876189540293895,-0.7065687472795235,-1.0722684363880797
237,run3,24,0.40062402397462726,0.5395120673823195,-1.0233788565658597
28,run1,24,-0.0948281640894999,-2.6968278667119705,-0.48915108498234217
133,run2,24,0.12038529839837331,-1.2945152022793116,-1.0549509781923705
29,run1,25,-0.26680391255878844,0.7050598573268507,0.23221197624272438
238,run3,25,-0.5643088796773332,-2.213198192721888,-0.8416233864302125
134,run2,25,-0.20815078198036518,-1.0680166745576813,-0.07376530645234469
239,run3,26,-0.11830632949426656,-1.628131146528733,-0.2103939355796558
30,run1,26,0.5666543821660763,-0.8630516118439346,-1.1462905667064205
135,run2,26,0.2013916207949329,0.8707605025450427,-0.3898939359703646
136,run2,27,-0.07011952554422107,-2.8579548680630507,-0.3888635803096063
240,run3,27,0.0951720695265168,0.34793971698214854,-0.2497387760052372
31,run1,27,0.05212579124618255,0.5258658757845369,-0.24965035981201478
137,run2,28,0.3016504044640378,1.0526944519162917,-0.6489984122099113
32,run1,28,-0.63146701893666,2.83418553703656,-1.7302721143509503
241,run3,28,0.559005726301498,2.012120593780087,-0.2897817822361426
138,run2,29,-0.12751552254849363,-0.4403395564699597,-0.10492095908297694
33,run1,29,0.25985882061836385,-0.6614669945797069,-0.49355930772382317
242,run3,29,-0.6488706814234746,-3.0159161011010793,-0.3396201064623461
244,run3,30,-0.6182255919958912,-1.3994436841877178,-0.6949081033507554
140,run2,30,0.7732772387768927,-1.7800747536256933,-1.1912886712460158
35,run1,30,-0.15885728298150603,-1.8613264916433447,-0.7810005566539324
36,run1,31,-0.18128851867672546,1.9027838650120588,-1.1762578711872584
245,run3,31,0.250756439689237,-2.2284273243497354,-0.8389009965229843
141,run2,31,-0.25568404386921983,-2.687792824188917,-0.06914977374600229
246,run3,32,0.5330592152079427,2.5789488431100516,0.0032216882973834515
