,commit,type,min,med,max,jump,trend
116,12,simple queries,-1.1316429654257387,0.5008175338032439,2.467033451457623,,
12,13,inserts,-0.7200105478488705,-0.26386099521844564,0.18325733198931715,,
222,13,group-by queries,-2.7438350938033373,-1.4754641435138829,2.051946676748484,potential down,potential down
117,13,simple queries,-2.0007228628006968,0.6020813790617252,2.9454666186736755,,
223,14,group-by queries,-1.5543681232083941,-0.7311195130554449,1.5959949751534586,,
118,14,simple queries,-1.7523568424534064,-0.8708260139179136,0.4031718846305044,,
13,14,inserts,-1.0332661730853898,-0.11702322547304522,1.167686053498196,,
119,15,simple queries,-3.077005373716601,-0.8051448856201016,2.4984314730973183,,
14,15,inserts,-0.6480514979648966,-0.11215962785234844,0.4148331704276531,,
224,15,group-by queries,-1.2714763926724435,0.2765397409821402,1.9686866885338492,potential up,
120,16,simple queries,-0.7760475820622671,0.4457304887239388,1.5171379946640196,,
15,16,inserts,-0.5988027427002329,0.08224561625584936,0.7287953137978365,,
225,16,group-by queries,-1.712642708230072,-0.732435089936978,0.23510286757653096,potential down,
121,17,simple queries,-3.5776893126351794,-0.9837002924599878,1.9261887670581237,,
16,17,inserts,-1.2988216865225222,-0.3706311700931275,0.4296541483529204,,
226,17,group-by queries,-1.6445986565949977,-0.6228506506298581,0.220518236190026,,
17,18,inserts,-0.5640209914447469,0.013494481989795304,0.5238361868141528,,
227,18,group-by queries,-2.2636231503228466,-1.319427261757955,0.39312437694489777,,potential down
122,18,simple queries,-3.8218533651872884,-1.5403866628433849,0.4613895526914824,,
228,19,group-by queries,-1.9075734234838992,-0.2884339406087233,0.8288317105090259,potential up,
123,19,simple queries,-1.707744472258388,-0.7982401942273065,0.5648527025593708,,
18,19,inserts,-0.36213475203485945,0.3295260843901415,0.8994149244055283,,
229,20,group-by queries,-2.1618349025603334,-0.8057610361795531,0.35687782957833925,,
124,20,simple queries,-2.736900843661394,-1.3502935635013924,1.5967992027036138,,
19,20,inserts,-0.582531626853755,-0.003587720768705172,0.521624128754139,,
230,21,group-by queries,-1.7053841226170707,-1.0353946171413164,0.3663261803068085,,
20,21,inserts,-0.7283941059328058,-0.01245438367729612,0.6044954022320415,,
125,21,simple queries,-2.305473651772949,0.2831336138174212,2.0189462627703936,,
21,22,inserts,-0.18260186698088046,0.4683801866545601,1.1756497490110762,,
231,22,group-by queries,-1.5357637362638843,-0.5618016211955346,0.17537512237129071,,
126,22,simple queries,-0.9412545341128008,0.0474253348962117,1.202449579089171,,
22,23,inserts,-0.2996899458382329,0.12575773055891748,0.6073925982757578,,
232,23,group-by queries,-1.9320143384972237,-0.9294811698310368,0.13781244511807955,,
127,23,simple queries,-2.6591226742208818,-0.4350582130209335,1.5021762856480605,,
233,24,group-by queries,-1.7054725275065132,-0.6137678303573257,0.4191645692031898,,
